S/N,Date,Tweets
320,23/06/24,"Gone are the days when brotherhood was genuine, it's a whole different ball game now
You get love in return only when it's beneficial to them…

"
321,23/06/24,You see this weed yall criticize so bad... nr fear .. you go smoke am when that time reach .... Trust me in due time!!!
322,22/06/24,I knew I matured when I was okay with nobody knowing my side of the story…
323,22/06/24,I fit don pass where you think say I never reach No be everything be camera…
324,21/06/24,Benin boys na the only sound I wan take Dey 💨 till the goat drop on God !!!
325,21/06/24,"I just want to apologize to some of you here that I am yet to offend, I’m sorry no worry once I finish with this set of people I go reach out to you never vex abeg 🤦😂🤣"
326,20/06/23,I rather use 20m smoke Igbo than carry big nyash on God 💨💨
327,20/06/24,But why you self go love person with all your heart? You no get sense🤨
328,20/06/24,"No be to snap with person oh , you get he number ?"
329,20/06/24,"Forgiveness is not memory lose.
God believes in consequences thats why he made Hell fire…"
330,20/06/24,There's hardly any traffic when you create your own lane…
331,20/06/24,"UNA WEN DEY COLLECT PERSON CODEIN UNA NO DEY FEAR SAY
DEM FIT DON SPIT INSIDE…"
332,18/06/24,"Just know that she hasn't stop talking to the guy that made you both always fight…

Good morning lovers of bad things 🥱💫🤘🏻"
333,17/06/24,"Na who get money be their blood 

do not forget 💨🤝💫"
334,17/06/24,If money finish we go find another one no worry bring enjoyment 😂😂🤣🤣
335,17/06/24,Na crime if another person get money pass you ?
336,16/06/24,"Don’t forget this is just an app , real life no get edit only delete 🫶🏻💨🤘🏻"
337,16/06/24,"Sending heartfelt Eid greetings to all my Muslim fans! May this special occasion bring you joy, blessings, and cherished moments with loved ones. Eid Mubarak!"
338,16/06/24,Everybody know them true self 💨🤝💫
339,15/06/23,"God Dey hear all our pains continue to grind, abeg no give up God too big to wyne you guy"
