S/N,Date,Tweet
413,28-9-2023,"1. Never said nothing about judgement
2. The Pple wey you Dey defend … u fit go chop for their house ? But guess what? I CAN ⏳😤"
414,28-9-2023,Nigeria politics and film trick 🤝 😂
415,28-9-2023,Australia 🇦🇺 and New Zealand 🇳🇿 We on the way !! ⏳❤️🔥🤯
416,26-9-2023,Was lovely too watch
417,26-9-2023,Plural
418,26-9-2023,About to blast off ⏳🚀 Movies on the way !!  🎥🎬😍
419,26-9-2023,I ❤️ NYC
420,23-9-2023,Ask about me Ask about me Wonti Le mi But won o mumi 💡
421,18-9-2023,"Manchester you gave me one of my favorite shows of the year, cheers to you⏳

London see you soon 

#TIMELESSTour"
422,17-9-2023,Otilo
423,16-9-2023,"hank you to 
@PUMA
 & 
@fentybeauty
 for sending me these classic shoes 👟🔥
@rihanna
 never misses 

#FENTYXPUMA"
424,15-9-2023,Peru … Bedtime pls 😭
425,15-9-2023,And crusher 😂😂
426,14-9-2023,Daddy 😍
427,13-9-2023,"Always a fun time at the 
@vmas
 

Manchester TODAY!

New announcements coming soon ⏳"
428,13-9-2023,"Well deserved! Shine young King! 💪🏾🌎 
@heisrema"
429,11-9-2023,Australia 🇦🇺 and NZ 🇳🇿 ⏳❤️😝
430,10-9-2023,In my panamera hola hola o
431,7-9-2023,"It was an honor to perform for 
@NaomiCampbell
 at the debut of her PrettyLittleThing line at NYFW ⏳"
432,6-9-2023,I Dey spend I gatts hu$tle
433,6-9-2023,MEN MOUNT
434,6-9-2023,Nigeria Election nah by who rugged pass
435,6-9-2023,“Enjoy your weekend”
436,6-9-2023,A divided house cannot stand …… everybody long throat .. well
437,5-9-2023,😂😂 ❤️ Papa
438,5-9-2023,HAT TRICK ⏳
439,4-9-2023,19.9.23 🎬🍿⏳
440,4-9-2023,Dubai that energy was special! If you were there thank you for holding me down as we made history. ⏳
441,3-9-2023,A NITE TO REMEMBER ..⏳🇦🇪🐐
442,2-9-2023,G O A T 🐐
443,2-9-2023,I’m so fucking  happy !! DUBAI THAT WAS AMAZING!!!!! SEE LOVE!!! 🙏🏾⏳🇦🇪❤️
444,2-9-2023,Dubai Sold out ❤️🇦🇪🙏🏾
445,2-9-2023,Tonight go sweet die !! ⏳🇦🇪❤️
446,1-9-2023,"Crème De La Crème . 
Shutting down DXB tomorrow 🇦🇪⏳
See you soon !"
447,1-9-2023,Shey make them ban money ? Na money Dey cause problem 😂😂😂😂
448,1-9-2023,Send me his account
449,1-9-2023,Wahala ⏳
450,30-8-2023,Share you blessings ⏳
451,30-8-2023,🇦🇪 Gang on the way!! ⏳🌎😈❤️
452,30-8-2023,"Thank you 
@PFA
 for the opportunity to not only attend such a prestigious event but also perform. Music and sports have always gone great together and we proved that again last night! ❤️⏳🌎 Next stop Dubai 🇦🇪 
@cocacolaarena"
453,29-8-2023,"See y’all Tonite ⏳❤️⚽️ 
@PFA"
454,25-8-2023,MORRAVEY
455,24-8-2023,"Erima, jẹ ka jọ ko po tua
Make you no go relent"
456,23-8-2023,📍ACCRA 🇬🇭…. Ain’t been  here since ⏳ dropped .. heard it’s doin ah madness ! We shall see tonight ! Gang Outside!!
457,23-8-2023,"No bad energy this year … am actually having the time of my life ⏳🌎😝
"
458,23-8-2023,‘Feel’ is that record ⏳
459,23-8-2023,Good luck to the people of Zimbabwe  .. I wish y’all a safe and transparent election today ❤️⏳🇿🇼
460,22-8-2023,Our hard work no go waste  IJN 🙏⏳🌎
461,22-8-2023,U rush in u rush out …. ⏳💨
462,21-8-2023,To celebrate 100m streams for ‘unavailable’ on Spotify … I’ll drop ‘feel’ Video .. we almost there ⏳
463,21-8-2023,Afro Nation Thank You For The Energy ⏳
